method,generation,evaluations,best_so_far_mean,best_so_far_sd,unique_fraction_mean,unique_fraction_sd,mean_modules_mean,mean_modules_sd
ea_k2,0,50,15.72921156930994,0.28035697085446587,0.968,0.036331804249169895,10.668,0.6891443970605865
ea_k2,1,100,15.46782436814497,0.2634937242149556,0.996,0.008944271909999166,9.608,0.25400787389370444
ea_k2,2,150,15.301905423905135,0.39689731946510703,0.96,0.024494897427831803,9.008000000000001,0.7664985322882232
ea_k2,3,200,15.214318666053583,0.48391607565050676,0.996,0.008944271909999166,8.975999999999999,0.7575486783039092
ea_k2,4,250,14.795624686068733,0.16958526054887924,0.988,0.010954451150103331,9.444,0.8041641623449779
ea_k2,5,300,14.632876893857762,0.23533322857809424,1.0,0.0,9.652,0.8194632389558425
ea_k2,6,350,14.632876893857762,0.23533322857809424,0.988,0.017888543819998333,9.668,0.7218864176586226
ea_k2,7,400,14.589436379187031,0.2203870897718601,0.992,0.010954451150103331,10.044,1.1381915480269569
ea_k2,8,450,14.589436379187031,0.2203870897718601,0.996,0.008944271909999166,9.948,1.216355211276706
ea_k2,9,500,14.581923767929863,0.2127604297500545,0.988,0.010954451150103331,9.911999999999999,0.9910196768984961
ea_k2,10,550,14.494435059289437,0.299664460155156,0.996,0.008944271909999166,10.264,0.8066473826896113
ea_k2,11,600,14.327044037756144,0.21969248489904308,0.988,0.017888543819998333,10.036,0.643801211555244
ea_k2,12,650,14.289198365174359,0.23751914177716224,0.996,0.008944271909999166,9.972,0.6162142484558437
ea_k2,13,700,14.146475777812059,0.1318631248607766,0.996,0.008944271909999166,9.948,0.2951609730299719
ea_k2,14,750,14.039938615186218,0.21326391102932124,0.996,0.008944271909999166,10.048,0.7275438131136843
ea_k2,15,800,13.824211532552821,0.11243304582479223,0.984,0.016733200530681527,10.136,0.6482900585386141
ea_k2,16,850,13.824211532552821,0.11243304582479223,0.984,0.026076809620810618,10.256,0.663535982445564
ea_k2,17,900,13.824211532552821,0.11243304582479223,0.988,0.017888543819998333,10.624,0.86768657935916
ea_k2,18,950,13.789854243699843,0.11505292984107017,1.0,0.0,10.74,0.7713624310270754
ea_k2,19,1000,13.756905438820672,0.1579569335407515,0.996,0.008944271909999166,10.588,1.0803332819088747
ea_k2,20,1050,13.647604349872624,0.19786642240589875,1.0,0.0,11.084,0.8933532336091917
ea_k2,21,1100,13.647604349872624,0.19786642240589875,0.988,0.010954451150103331,11.108,0.8579743585912112
ea_k2,22,1150,13.647369185616633,0.19753346648694659,0.992,0.010954451150103331,11.276,1.0451220024475611
ea_k2,23,1200,13.599809502535706,0.15414256137971002,0.996,0.008944271909999166,11.504,0.8566679636825456
