generation,evaluations,best_so_far,population_best,population_mean,population_worst,unique_fraction,mean_modules,best_modules
0,50,15.8293765408777,15.8293765408777,18.30424162197078,21.540658617698014,0.92,9.46,10
1,100,15.670831300812525,15.670831300812525,17.247428966864184,19.648199740725325,0.98,8.66,8
2,150,15.06767050061961,15.06767050061961,16.51112428630518,17.99354502688081,1.0,8.2,12
3,200,15.06767050061961,15.06767050061961,16.151687075266818,17.864171097297422,0.96,9.08,12
4,250,14.701351104664349,14.701351104664349,16.038082168120685,17.779591062525107,1.0,9.94,9
5,300,14.59857113690718,14.59857113690718,16.02273759270329,17.64131112314674,1.0,9.98,9
6,350,14.59857113690718,14.59857113690718,16.02070524734393,17.90312347560939,0.96,9.72,9
7,400,14.59857113690718,14.59857113690718,15.815577150473597,18.58446194559183,0.96,9.36,9
8,450,14.4,14.4,15.838020455549408,17.77967389859482,0.96,10.22,11
9,500,14.4,14.4,15.770064170542861,17.958472019555188,0.98,9.74,11
10,550,14.208607914449798,14.208607914449798,15.750829482401263,18.46522961801754,0.9,10.34,10
11,600,14.208607914449798,14.208607914449798,15.54378263492144,17.43295878967653,0.94,10.26,10
12,650,14.091366458960191,14.091366458960191,15.347275508918063,18.28769250208977,0.94,10.2,12
13,700,14.091366458960191,14.091366458960191,15.568647344385994,17.497367813297647,0.98,10.54,12
14,750,14.091366458960191,14.091366458960191,15.55621354987658,18.751803788283283,0.98,10.56,12
15,800,14.091366458960191,14.091366458960191,15.56334796748224,17.648008498577177,1.0,10.62,12
16,850,13.983239697419133,13.983239697419133,15.732944415426754,18.38806130178211,0.98,10.8,13
17,900,13.983239697419133,13.983239697419133,15.549736577463017,17.67408001330082,0.98,10.22,13
18,950,13.923538406167134,13.923538406167134,15.483384661956938,18.419803902718556,1.0,10.62,12
19,1000,13.923538406167134,13.923538406167134,15.355877826359263,18.297057550292607,0.94,11.18,12
20,1050,13.923538406167134,13.923538406167134,15.641051196881458,18.621320343559642,0.92,10.44,12
21,1100,13.923538406167134,13.923538406167134,15.630002812390442,18.923243291566195,0.98,10.86,12
22,1150,13.78806130178211,13.78806130178211,15.339488466342434,18.26397674405503,1.0,12.12,13
23,1200,13.78806130178211,13.78806130178211,15.484395925401051,18.041522986797286,0.96,11.56,13
24,1250,13.78806130178211,13.78806130178211,15.321338759834426,19.341653005427766,0.96,11.8,13
25,1300,13.78806130178211,13.78806130178211,15.612063401977244,19.41805044483418,1.0,11.78,13
26,1350,13.78806130178211,13.78806130178211,15.386543488112213,17.362155066756827,1.0,11.34,13
27,1400,13.78806130178211,13.78806130178211,15.219287302734262,18.136664289109586,1.0,12.34,13
28,1450,13.78806130178211,13.78806130178211,15.306019804811305,18.142787793912433,1.0,12.76,13
29,1500,13.70332963783729,13.70332963783729,15.124232508524509,18.02480768092719,1.0,12.3,14
30,1550,13.70332963783729,13.70332963783729,15.06978445965711,17.196150997149434,0.94,12.1,14
31,1600,13.70332963783729,13.70332963783729,15.284507476522197,19.38494332412792,0.96,12.72,14
32,1650,13.70332963783729,13.70332963783729,15.089877705023117,18.485677655436824,1.0,12.04,14
33,1700,13.70332963783729,13.70332963783729,15.416225831031579,18.43469899493758,0.98,12.28,14
34,1750,13.70332963783729,13.70332963783729,15.130563305154686,18.644832503882967,1.0,12.4,14
35,1800,13.70332963783729,13.70332963783729,15.1700233946063,18.46476151587624,0.96,12.88,14
36,1850,13.559591794226542,13.559591794226542,15.18277030212652,19.69523539268061,0.96,12.56,13
37,1900,13.559591794226542,13.559591794226542,15.465402247485622,17.977074101966046,0.98,12.7,13
38,1950,13.559591794226542,13.559591794226542,15.385853819884408,18.586651818838305,0.94,12.4,13
39,2000,13.559591794226542,13.559591794226542,15.281323165744652,17.491153452528778,0.98,12.72,13
40,2050,13.559591794226542,13.559591794226542,15.43122450112183,18.063818169698585,0.98,12.38,13
41,2100,13.559591794226542,13.559591794226542,15.04680805319703,17.61269819963779,1.0,12.46,13
42,2150,13.5,13.5,15.129633983075514,17.196150997149434,1.0,11.82,16
43,2200,12.869535971483266,12.869535971483266,15.08856075003535,17.991660871578098,1.0,12.76,15
44,2250,12.869535971483266,12.869535971483266,14.963495977619923,20.009980079602226,0.96,13.36,15
45,2300,12.869535971483266,12.869535971483266,14.653300819423858,17.338539126015654,0.98,14.04,15
46,2350,12.869535971483266,12.869535971483266,14.67175321071663,16.359107887809373,0.98,14.14,15
47,2400,12.869535971483266,12.869535971483266,14.88940221992009,17.67408001330082,1.0,13.16,15
48,2450,12.869535971483266,12.869535971483266,14.617022561688813,16.68727441181401,0.98,13.58,15
49,2500,12.869535971483266,12.869535971483266,14.733656025791081,17.13534100123922,1.0,14.34,15
50,2550,12.869535971483266,12.869535971483266,14.868801393002645,17.491660871578098,0.98,13.72,15
51,2600,12.700000000000001,12.700000000000001,14.427466517395356,17.615167380558045,0.9,13.4,15
52,2650,12.700000000000001,12.700000000000001,14.65431888999193,17.61980390271856,1.0,13.84,15
53,2700,12.700000000000001,12.700000000000001,14.599012249777749,17.309990925582365,1.0,13.38,15
54,2750,12.700000000000001,12.700000000000001,14.315411812992531,16.898979485566358,0.96,13.74,15
55,2800,12.700000000000001,12.700000000000001,14.38077668243315,16.328109984434104,0.94,13.48,15
56,2850,12.700000000000001,12.700000000000001,14.44259040953955,16.707106781186546,0.96,14,15
57,2900,12.700000000000001,12.700000000000001,14.488401466472437,16.780733538795445,0.98,13.66,15
58,2950,12.700000000000001,12.700000000000001,14.57959383413088,17.228109984434102,0.94,13.4,15
59,3000,12.700000000000001,12.700000000000001,14.45623173342997,17.36154726279432,0.98,14.44,15
60,3050,12.700000000000001,12.700000000000001,14.096874181618379,16.614642819948227,0.94,14.18,15
61,3100,12.700000000000001,12.700000000000001,14.11559490422661,18.264911064067352,0.98,14.3,15
62,3150,12.700000000000001,12.700000000000001,14.247981930774076,16.27492857084547,0.98,13.84,15
63,3200,12.700000000000001,12.700000000000001,14.577405282948638,16.795829710142186,1.0,13.72,15
64,3250,12.700000000000001,12.700000000000001,14.595035789860383,17.911871208194288,0.96,13.42,15
65,3300,12.700000000000001,12.700000000000001,14.635717519786843,17.340967364599088,0.96,13.46,15
66,3350,12.700000000000001,12.700000000000001,14.618262698540557,17.408614292583042,0.96,13.6,15
67,3400,12.700000000000001,12.700000000000001,14.708866231801984,17.839607805437115,0.98,13.34,15
68,3450,12.700000000000001,12.700000000000001,14.569298466114477,17.50554700852678,0.9,13.56,15
69,3500,12.700000000000001,12.700000000000001,14.689297873808558,17.919090595827292,0.98,13.88,15
70,3550,12.700000000000001,12.700000000000001,14.443806191995849,17.12541078227774,0.96,13.62,15
71,3600,12.700000000000001,12.700000000000001,14.392883491858605,16.755804677345548,0.94,13.76,15
72,3650,12.700000000000001,12.700000000000001,14.34025754707295,16.328109984434104,0.98,13.66,15
73,3700,12.700000000000001,12.700000000000001,14.249544876077207,16.698214000911364,1.0,14.04,15
74,3750,12.700000000000001,12.700000000000001,14.615415386029536,16.919349550499536,0.98,13.62,15
75,3800,12.700000000000001,12.700000000000001,14.54916316180958,16.617935662402836,0.98,14.48,15
76,3850,12.700000000000001,12.700000000000001,14.353158471802582,16.62574776766556,1.0,14.02,15
77,3900,12.700000000000001,12.700000000000001,14.210348382440156,16.409988913511874,0.98,14.1,15
78,3950,12.700000000000001,12.700000000000001,14.345198013237892,17.420465053408524,0.98,13.96,15
79,4000,12.700000000000001,12.700000000000001,14.580564388424369,17.540758070878027,1.0,13.22,15
80,4050,12.679795897113271,12.679795897113271,14.225906196715135,16.555294535724684,1.0,14.48,15
81,4100,12.679795897113271,12.679795897113271,13.971120389004986,16.03033476111609,0.98,14.3,15
82,4150,12.679795897113271,12.679795897113271,14.519129658022969,17.46619037896906,0.94,13.56,15
83,4200,12.589897948556635,12.589897948556635,14.672103157071954,17.908304597359457,1.0,14.02,14
84,4250,12.589897948556635,12.589897948556635,14.342420164018788,17.33587132480567,0.94,13.62,14
85,4300,12.589897948556635,12.589897948556635,14.19585813289709,16.547722557505168,0.96,13.76,14
86,4350,12.589897948556635,12.589897948556635,14.687517786643342,17.119722213291034,0.96,13.6,14
87,4400,12.589897948556635,12.589897948556635,14.1036651287216,17.843559577416272,1.0,13.78,14
88,4450,12.589897948556635,12.589897948556635,14.437609554907375,17.394427190999917,0.98,13.48,14
89,4500,12.589897948556635,12.589897948556635,14.494499119667543,17.28769250208977,0.96,13.58,14
90,4550,12.589897948556635,12.589897948556635,14.490452611778586,18.04108003776293,0.94,12.22,14
91,4600,12.589897948556635,12.589897948556635,14.36811772281472,17.520465053408525,0.94,13.12,14
92,4650,12.589897948556635,12.589897948556635,14.485423643038569,17.362155066756827,0.96,12.78,14
93,4700,12.589897948556635,12.589897948556635,14.559525138873717,17.362155066756827,0.96,12.5,14
94,4750,12.447213595499958,12.447213595499958,14.339701231306707,17.12736184954957,0.94,13.04,14
95,4800,12.447213595499958,12.447213595499958,14.59084214180042,17.70199920063936,0.98,13.14,14
96,4850,12.447213595499958,12.447213595499958,14.51189087748627,17.72162768692984,0.96,12.8,14
97,4900,12.447213595499958,12.447213595499958,14.431595098530199,17.713552872566005,1.0,13.2,14
98,4950,12.447213595499958,12.447213595499958,14.623465041858658,17.508687448721165,1.0,13.24,14
99,5000,12.447213595499958,12.447213595499958,14.608651328231593,17.53382640840131,1.0,13.34,14
100,5050,12.447213595499958,12.447213595499958,14.888640232785312,17.72162768692984,1.0,13.2,14
