method,target,mean,sd
ea_k2,target_00.json,11.1,0.7416198487095663
ea_k2,target_01.json,11.5,0.8660254037844386
ea_k2,target_02.json,11.8,0.570087712549569
ea_k2,target_03.json,12.1,0.4183300132670378
ea_k2,target_04.json,13.1,1.140175425099138
ea_k5,target_00.json,11.5,0.6123724356957945
ea_k5,target_01.json,11.8,0.27386127875258304
ea_k5,target_02.json,11.7,0.6708203932499369
ea_k5,target_03.json,12.5,0.5
ea_k5,target_04.json,12.8,0.570087712549569
random,target_00.json,9.7,1.4404860290887933
random,target_01.json,9.8,1.036822067666386
random,target_02.json,11.3,0.9746794344808964
random,target_03.json,13.0,0.7905694150420949
random,target_04.json,15.9,0.5477225575051661
