generation,evaluations,best_so_far,population_best,population_mean,population_worst,unique_fraction,mean_modules,best_modules
0,50,15.509980079602226,15.509980079602226,18.151711642624626,20.768288736283353,1.0,10.9,13
1,100,15.509980079602226,15.720897306865446,18.063854366992143,20.797057550292603,0.94,10.38,13
2,150,15.509980079602226,16.30142828000232,18.48168091402454,20.648199740725325,0.94,9.7,13
3,200,15.386084215408221,15.386084215408221,18.239757948199046,21.536308338453882,0.94,9.44,8
4,250,15.386084215408221,16.277849927241487,18.303483300998835,22.462977544445355,0.96,10.98,8
5,300,15.180721582386452,15.180721582386452,17.88019773307923,21.94948974278318,0.98,10.58,11
6,350,15.180721582386452,15.493468988235943,18.2727311067307,21.187119154832537,0.98,11.1,11
7,400,15.063705936241092,15.063705936241092,17.97461307285689,21.15486705347928,1.0,10.7,9
8,450,15.063705936241092,15.577902338672773,17.816581865703785,21.52491379207837,0.98,9.46,9
9,500,15.063705936241092,15.973172123844298,18.602411493494987,21.503123475609396,0.92,9.96,9
10,550,15.063705936241092,15.55277655408689,18.2505142837803,21.206404996924924,0.98,10.02,9
11,600,15.063705936241092,15.745222154178574,18.037035830333807,21.099999999999998,1.0,11.04,9
12,650,15.063705936241092,15.779673898594819,18.391569410880383,21.054065922853802,0.96,9.28,9
13,700,15.063705936241092,15.31069386451104,17.976256200323217,20.648199740725325,0.96,9.74,9
14,750,15.063705936241092,15.395943722515264,18.288728623353215,21.084943324127924,0.94,11.26,9
15,800,15.063705936241092,16.09136645896019,18.288691556706684,21.882522621072773,0.94,9.88,9
16,850,15.063705936241092,15.623742416388575,18.088049161017697,20.648199740725325,1.0,9.98,9
17,900,15.063705936241092,15.297726685459205,18.214768356511915,22.78998886412873,0.96,9.96,9
18,950,15.063705936241092,15.917461885320133,18.26331621070111,21.24037034920393,0.96,10.78,9
19,1000,15.063705936241092,15.85870331449229,18.160119488309643,21.207567081708245,0.98,10.18,9
20,1050,15.063705936241092,15.279673898594819,18.174894611349913,21.27488738510232,0.96,9.44,9
21,1100,15.063705936241092,15.695235392680607,17.975172490965335,20.96522961801754,1.0,10.12,9
22,1150,15.018695387886217,15.018695387886217,18.051014341283278,22.437663853655728,0.92,8.84,10
23,1200,15.018695387886217,15.282306905057553,18.257173126031468,21.577154105707724,0.94,9.4,10
24,1250,14.5494443758404,14.5494443758404,17.904149553947672,20.991015291668745,1.0,10.62,12
25,1300,14.5494443758404,15.664582518894846,18.05793237074764,20.75306852353742,0.98,11.82,12
26,1350,14.5494443758404,15.549691346263316,17.983224735630127,21.252272056851645,0.98,9.5,12
27,1400,14.5494443758404,15.943808085167397,18.317087114306094,21.031300056749533,0.94,9.76,12
28,1450,14.5494443758404,16.512729212465686,18.423011826292267,20.895943722515266,0.96,10.56,12
29,1500,14.5494443758404,15.86356421265527,18.26717059016857,21.18208554864871,0.96,10.14,12
30,1550,14.5494443758404,15.754409477236528,18.225415548910807,22.275711299845938,0.98,10.82,12
31,1600,14.5494443758404,15.56767050061961,18.41900579778422,21.57967389859482,0.94,11.12,12
32,1650,14.5494443758404,15.588409872672514,17.93703585957715,20.12074368738204,0.98,10.22,12
33,1700,14.5494443758404,15.59857113690718,18.038375174692707,20.960941604639093,0.98,11.78,12
34,1750,14.5494443758404,15.32409987036266,18.28033273408223,21.743024810940586,0.98,11.6,12
35,1800,14.5494443758404,15.542080668885404,17.51199882181373,20.648199740725325,1.0,9.06,12
36,1850,14.5494443758404,16.02610932182309,18.38999513312074,20.82842712474619,0.94,9.98,12
37,1900,14.5494443758404,15.393897898091744,18.67571994452053,20.683266665599966,0.92,12.26,12
38,1950,14.5494443758404,16.343024810940587,18.22417608562498,20.648199740725325,0.96,9.96,12
39,2000,14.5494443758404,15.968787265568828,18.461810531017615,22.27211421989835,0.92,9.34,12
40,2050,14.5494443758404,15.031300056749533,18.170824493007814,20.967670500619608,0.96,11.32,12
41,2100,14.5494443758404,15.621347195933177,17.991004822082314,21.042080668885404,1.0,12,12
42,2150,14.5494443758404,15.60665927567458,18.049551319217628,20.99722114972099,0.98,9.62,12
43,2200,14.5494443758404,15.345906043549196,17.701481382776986,20.985677655436824,0.98,9.96,12
44,2250,14.5494443758404,14.738612787525831,18.1005206146889,21.394438717061494,0.98,11.36,12
45,2300,14.5494443758404,15.555592347112503,18.1226246948702,20.839387691339812,1.0,11.42,12
46,2350,14.5494443758404,15.534387974463899,17.992123643658278,22.470540018881465,1.0,11.64,12
47,2400,14.5494443758404,15.646426544510454,18.154096512282116,22.7,0.94,10.38,12
48,2450,14.5494443758404,16.003123475609392,18.131237356207443,20.8,0.94,9.94,12
49,2500,14.5494443758404,15.413135192987523,18.350386475573313,20.648199740725325,0.94,9.52,12
50,2550,14.5494443758404,15.614674215792775,18.246983248220268,21.05277655408689,1.0,10.76,12
51,2600,14.5494443758404,16.38252262107277,18.18483152154343,20.648199740725325,1.0,11.3,12
52,2650,14.5494443758404,15.368787265568827,18.47473870922766,21.577902338672775,0.9,10.52,12
53,2700,14.5494443758404,15.58656334834051,18.094067672681632,21.20135110466435,1.0,10.18,12
54,2750,14.5494443758404,15.978505426185217,18.048312913401457,23.11283361405006,0.98,9.82,12
55,2800,14.5494443758404,15.938468204234429,18.20905114674387,20.659326868617086,0.98,11.5,12
56,2850,14.5494443758404,15.469817807045693,17.888314058172128,20.69332590941915,0.96,8.38,12
57,2900,14.5494443758404,15.610960958218893,17.908306687164664,21.09136645896019,1.0,11.02,12
58,2950,14.5494443758404,15.894182110716777,18.158759437504543,20.648199740725325,0.96,9.78,12
59,3000,14.5494443758404,15.682085548648711,18.29655092041885,21.82987251894456,0.98,11.36,12
60,3050,14.5494443758404,15.557583690279023,18.03595029068312,20.70199920063936,0.98,10.98,12
61,3100,14.5494443758404,15.868787265568827,18.036486800355284,20.648199740725325,1.0,10.48,12
62,3150,14.5494443758404,15.08526217596215,18.133713397333764,21.570459909270543,1.0,12.24,12
63,3200,14.5494443758404,16.114674215792775,18.043219219983186,22.049705872175156,1.0,11.14,12
64,3250,14.5494443758404,15.346640106136302,17.89246480922666,20.648199740725325,1.0,10.06,12
65,3300,14.5494443758404,15.728270376461449,18.408253023216616,21.88587184554509,0.9,9.18,12
66,3350,14.5494443758404,15.65796522451032,17.90773847119991,21.497057550292606,1.0,10.52,12
67,3400,14.5494443758404,15.555592347112503,18.07188775955579,21.27488738510232,1.0,10.62,12
68,3450,14.5494443758404,15.477638883463117,18.127970393602713,21.276575213227446,0.98,11.42,12
69,3500,14.5494443758404,15.504834939252005,18.152312060776005,20.776575213227446,0.94,9.64,12
70,3550,14.5494443758404,15.25277655408689,18.28936718006805,20.648199740725325,1.0,10.16,12
71,3600,14.5494443758404,15.36356421265527,18.144486344913204,21.892492955535424,0.98,11.04,12
72,3650,14.5494443758404,15.337211521390788,18.27364939507468,21.146426544510454,0.98,10.7,12
73,3700,14.5494443758404,15.39857113690718,17.853883138626166,20.995451410656816,0.96,9.72,12
74,3750,14.5494443758404,15.552107898405339,18.420446687703606,20.708607914449797,0.9,9.62,12
75,3800,14.5494443758404,15.188689042296101,18.13544015571318,21.520897306865447,0.96,10.7,12
76,3850,14.5494443758404,15.14699879903904,18.130102800276447,22.72491379207837,0.96,12.26,12
77,3900,14.5494443758404,14.819160170741759,17.91447130315949,21.423243291566195,0.96,10.58,12
78,3950,14.5494443758404,16.049509756796393,17.803359094292112,20.648199740725325,0.94,9,12
79,4000,14.5494443758404,15.4,17.977197337282746,20.802172886644268,0.98,10.02,12
80,4050,14.5494443758404,15.039387691339813,18.050967986592735,20.781934729198174,1.0,9.98,12
