method,target,mean,sd
ea_k2,target_00.json,8.0,2.1213203435596424
ea_k2,target_01.json,8.25,1.7677669529663689
ea_k2,target_02.json,10.5,2.1213203435596424
ea_k2,target_03.json,14.5,0.7071067811865476
ea_k2,target_04.json,18.0,2.1213203435596424
ea_k5,target_00.json,9.0,0.0
ea_k5,target_01.json,9.25,0.3535533905932738
ea_k5,target_02.json,10.5,1.4142135623730951
ea_k5,target_03.json,13.0,0.7071067811865476
ea_k5,target_04.json,17.0,0.7071067811865476
random,target_00.json,8.25,0.3535533905932738
random,target_01.json,8.25,2.4748737341529163
random,target_02.json,11.25,3.181980515339464
random,target_03.json,12.0,2.1213203435596424
random,target_04.json,18.75,1.7677669529663689
